Word       Document   Frequency  
phrase     D2         2         
pipelin    D2         1         
pointw     D4         2         
poor       D4         1         
posit      D5         1         
pres       D1         1         
prim       D3         1         
problem    D5         1         
proc       D4         1         
process    D5         1         
produc     D2         2         
produc     D3         1         
prompt     D4         3         
propos     D2         1         
propos     D3         1         
propos     D4         2         
propos     D5         1         
propos     D6         3         
propriet   D1         1         
provid     D1         1         
pseudo     D6         1         
qe         D6         4         
qual       D1         1         
qual       D3         1         
query      D2         9         
query      D3         9         
query      D5         5         
query      D6         5         
rank       D2         1         
rank       D3         1         
rank       D4         7         
rank       D5         1         
rank       D6         2         
rankvicun  D1         1         
rec        D3         1         
rec        D6         1         
recogn     D3         1         
record     D2         1         
reduc      D2         1         
reduc      D3         1         
reduc      D4         2         
relev      D2         1         
relev      D3         3         
relev      D5         1         
relev      D6         3         
remain     D1         1         
repres     D2         4         
repres     D3         1         
reproduc   D1         1         
requir     D3         2         
rerank     D1         5         
research   D1         2         
research   D3         3         
research   D6         2         
resourc    D3         1         
result     D1         2         
result     D2         3         
result     D3         1         
result     D4         1         
result     D6         1         
retain     D4         1         
retriev    D1         1         
retriev    D2         3         
retriev    D3         3         
retriev    D5         2         
retriev    D6         1         
rich       D2         1         
robust     D6         1         
sbert      D2         1         
scal       D3         1         
sci        D3         5         
scor       D3         1         
scor       D4         1         
search     D2         1         
search     D5         2         
self       D2         1         
sem        D2         2         
sem        D5         1         
sem        D6         1         
sent       D2         1         
sep        D2         2         
set        D1         1         
set        D5         2         
setw       D4         1         
sev        D5         1         
shaky      D1         1         
short      D2         1         
shortcom   D1         1         
shot       D1         2         
shot       D4         6         
show       D1         1         
show       D6         1         
sign       D1         1         
sign       D3         1         
sign       D4         1         
simil      D5         1         
simil      D6         1         
siz        D2         1         
siz        D4         1         
slight     D1         1         
smal       D1         1         
sot        D5         1         
sourc      D1         1         
spac       D2         2         
spac       D6         2         
spec       D2         1         
stabl      D5         1         
stag       D5         2         
standard   D5         3         
standard   D6         1         
stat       D5         1         
stat       D6         1         
structure  D3         1         
structure  D5         3         
study      D2         2         
study      D4         1         
styl       D5         1         
sub        D3         1         
suboptim   D5         1         
success    D1         1         
suff       D4         1         
suit       D5         1         
summ       D2         1         
supery     D4         1         
task       D3         3         
task       D4         1         
techn      D5         1         
term       D6         1         
test       D3         1         
test       D4         1         
test       D6         1         
text       D2         4         
thorough   D4         1         
threatening D1         1         
three      D6         1         
tier       D3         1         
tim        D6         1         
tok        D2         1         
tok        D4         2         
track      D1         1         
trad       D4         1         
tradit     D3         1         
tradit     D6         2         
train      D5         1         
train      D6         1         
transform  D2         3         
tre        D5         3         
trec       D1         1         
trec       D2         1         
trec       D4         1         
trec       D5         2         
trec       D6         1         
tun        D2         1         
two        D2         1         
two        D5         2         
understand D2         2         
us         D2         2         
us         D3         2         
us         D4         2         
us         D5         2         
us         D6         3         
valid      D3         1         
vary       D6         1         
vect       D2         5         
verac      D1         1         
vers       D5         1         
vic        D5         1         
web        D5         1         
wel        D2         1         
within     D3         1         
within     D4         1         
without    D3         2         
work       D1         2         
work       D5         1         
year       D6         1         
yield      D1         1         
yield      D2         1         
zero       D1         2         
zero       D4         6         
